type,client,tx,amount
deposit,39623,4200000000,630.3894
deposit,33976,4200000001,638.6218
deposit,17661,4200000002,552.2806
deposit,40253,4200000003,552.9442
deposit,53982,4200000004,668.6451
deposit,11854,4200000005,720.3354
deposit,12981,4200000006,949.8312
deposit,53095,4200000007,520.628
deposit,57997,4200000008,636.4377
deposit,23802,4200000009,655.058
deposit,48311,4200000010,564.4681
deposit,45884,4200000011,994.452
deposit,26384,4200000012,881.1358
deposit,9519,4200000013,742.2686
deposit,23781,4200000014,712.0926
deposit,36516,4200000015,803.1717
deposit,8909,4200000016,914.9561
deposit,35979,4200000017,645.5752
deposit,54616,4200000018,877.9862
deposit,22130,4200000019,898.3225
deposit,31515,4200000020,624.9247
deposit,18318,4200000021,769.7626
deposit,26259,4200000022,566.8019
deposit,18817,4200000023,925.7956
deposit,44503,4200000024,818.7136
deposit,36387,4200000025,994.7418
deposit,62683,4200000026,768.1277
deposit,17511,4200000027,738.1719
deposit,8799,4200000028,626.361
deposit,55335,4200000029,668.5556
deposit,8689,4200000030,887.1296
deposit,57636,4200000031,982.2911
deposit,18009,4200000032,976.8651
deposit,59510,4200000033,694.4881
deposit,7647,4200000034,713.3633
deposit,37718,4200000035,615.8397
deposit,61606,4200000036,584.0902
deposit,42281,4200000037,943.1427
deposit,59476,4200000038,987.5181
deposit,18984,4200000039,836.444
deposit,56151,4200000040,890.957
deposit,22392,4200000041,626.35
deposit,54867,4200000042,579.6092
deposit,57313,4200000043,903.1727
deposit,47405,4200000044,760.2325
deposit,18419,4200000045,540.2387
deposit,22031,4200000046,595.6497
deposit,61216,4200000047,567.0329
deposit,29934,4200000048,965.5171
deposit,51159,4200000049,862.402
deposit,41292,4200000050,894.8661
deposit,18665,4200000051,649.7787
deposit,41581,4200000052,751.8154
deposit,43983,4200000053,611.2038
deposit,23879,4200000054,997.162
deposit,24161,4200000055,653.1363
deposit,53510,4200000056,998.9127
deposit,22194,4200000057,943.7069
deposit,29316,4200000058,859.6471
deposit,58946,4200000059,807.2116
deposit,56141,4200000060,922.6782
deposit,41296,4200000061,659.4113
deposit,17845,4200000062,566.2471
deposit,13790,4200000063,600.4352
deposit,51640,4200000064,927.5585
deposit,55922,4200000065,740.595
deposit,61896,4200000066,770.4993
deposit,14067,4200000067,829.8313
deposit,12518,4200000068,817.5072
deposit,32318,4200000069,554.1665
